dec	hex	name
2001	0x07d1	EID_C_CARRIER_CONTROL
2002	0x07d2	EID_C_CARRIER_SWITCH_CONTROL
2003	0x07d3	EID_C_MCU_CMD_CONTROL
2004	0x07d4	EID_C_LIDAR_CONTROL
2005	0x07d5	EID_C_SLAM_CONTROL
2006	0x07d6	EID_C_NAVIGATOR_CONTROL
2007	0x07d7	EID_C_PAUSE
2008	0x07d8	EID_C_RESUME
2009	0x07d9	EID_C_CLOSE
2010	0x07da	EID_C_FIRMWARE_UPGRADE_ALL
2011	0x07db	EID_C_FIRMWARE_UPGRADE_SILENT_DOWNLOAD
2012	0x07dc	EID_C_FIRMWARE_UPGRADE_SILENT_UPDATE
2013	0x07dd	EID_C_FIRMWARE_UPGRADE_DOWNLOAD_SUCCESS
2014	0x07de	EID_C_FIRMWARE_UPGRADE_UPDATE_SUCCESS
2015	0x07df	EID_C_FIRMWARE_UPGRADE_SUCCESS
2016	0x07e0	EID_C_FIRMWARE_UPGRADE_DOWNLOAD_FAIL
2017	0x07e1	EID_C_FIRMWARE_UPGRADE_UPDATE_FAIL
2018	0x07e2	EID_C_FIRMWARE_UPGRADE_FAIL
2019	0x07e3	EID_C_MCU_UPGRADE_SUCCESS
2020	0x07e4	EID_C_MCU_UPGRADE_FAIL
2021	0x07e5	EID_C_MCU_UPGRADE
2022	0x07e6	EID_C_SHUTDOWN
2023	0x07e7	EID_C_REQUEST_REBOOT
2024	0x07e8	EID_C_REBOOT
2025	0x07e9	EID_C_UI_REQUEST_FACTORY_RESET
2026	0x07ea	EID_C_APP_REQUEST_FACTORY_RESET
2027	0x07eb	EID_C_FACTORY_RESET
2028	0x07ec	EID_C_SET_LED_SWITCH
2029	0x07ed	EID_C_RELOCALIZATION_TESTER_CONTROL
2030	0x07ee	EID_C_SLAM_REF_TESTER_CONTROL
2031	0x07ef	EID_C_SLAM_CONF_TESTER_CONTROL
2032	0x07f0	EID_C_RELOAD_BACKUPMAP
2033	0x07f1	EID_C_DELETE_MAP
2034	0x07f2	EID_C_FIRMWARE_UPGRADE_SUCCESS_VOICE
2035	0x07f3	EID_C_AV_VIDEO_KEY_FRAME
2036	0x07f4	EID_C_CARRIER_MOTOR_LIMIT_SWITCH_CONTROL
2037	0x07f5	EID_C_CARRIER_DUST_CENTER_SWITCH_CONTROL
2038	0x07f6	EID_C_AV_START_RECORD
2039	0x07f7	EID_C_AV_STOP_RECORD
2040	0x07f8	EID_C_TRACE_CTRL_START
2041	0x07f9	EID_C_TRACE_CTRL_END
2042	0x07fa	EID_C_TEST_MODE_START
2043	0x07fb	EID_C_TEST_MODE_STOP
2044	0x07fc	EID_C_NODE_DEBUGGER_WRITE
2045	0x07fd	EID_C_EVENT_END
3000	0x0bb8	EID_W_EVENT_BEGIN
3001	0x0bb9	EID_W_ULTRASONIC
3002	0x0bba	EID_W_EVENT_END
4000	0x0fa0	EID_E_EVENT_BEGIN
4001	0x0fa1	EID_E_LIDAR_INTERFACE
4002	0x0fa2	EID_E_CARRIER_INTERFACE
4003	0x0fa3	EID_E_TEMPERATURE
4004	0x0fa4	EID_E_WHEEL
4005	0x0fa5	EID_E_LEFT_WHEEL
4006	0x0fa6	EID_E_RIGHT_WHEEL
4007	0x0fa7	EID_E_UNIVERSAL_WHEEL_STUCK
4008	0x0fa8	EID_E_SIDE_BRUSH
4009	0x0fa9	EID_E_MIDDLE_BRUSH
4010	0x0faa	EID_E_MIDDLE_BRUSH_FATAL
4011	0x0fab	EID_E_FAN_SPEED
4012	0x0fac	EID_E_IMU_DATA
4013	0x0fad	EID_E_IMU_DATA_NO_CHANGE
4014	0x0fae	EID_E_COLLISION
4015	0x0faf	EID_E_DROP
4016	0x0fb0	EID_E_FRONT_WALL_DIRTY
4017	0x0fb1	EID_E_PSD_DIRTY
4018	0x0fb2	EID_E_LIDAR_SPEED_ERROR
4019	0x0fb3	EID_E_LIDAR_POINT_ERR
4020	0x0fb4	EID_E_LIDAR_PROTECTIVE_COVER
4021	0x0fb5	EID_E_ARC_FAILED
4022	0x0fb6	EID_E_SPP_LOST_POS
4023	0x0fb7	EID_E_CLEAN_LOST_POSE
4024	0x0fb8	EID_E_CLEAN_LOST_POSE_DONE
4025	0x0fb9	EID_E_FIND_CHGER_LOST_POSE
4026	0x0fba	EID_E_FIND_CHGER_LOST_POSE_DONE
4027	0x0fbb	EID_E_REMOTE_CONTROL_LOST_POSE
4028	0x0fbc	EID_E_TRACE_LOCATION_LOST_POSE
4029	0x0fbd	EID_E_FIT_LINE
4030	0x0fbe	EID_E_MAP_FILE_REQUEST
4031	0x0fbf	EID_E_GARBAGE_BOX_OUT
4032	0x0fc0	EID_E_GARBAGE_BOX_FULL
4033	0x0fc1	EID_E_GARBAGE_BOX_FULL_OUT
4034	0x0fc2	EID_E_WATER_PUMP
4035	0x0fc3	EID_E_WATER_BOX_OUT
4036	0x0fc4	EID_E_WATER_BOX_EMPTY
